metric,value
E_on_final,0.0009109152880623932
E_off_final,4.258476930026523e-05
on_target_editing_rate_final,0.0006011346847667814
off_target_burden_final,4.2580743846465166e-05
specificity_index_final,14.117523940354909
P_brain_peak,0.00026775869037612405
AUC_liver,9.992543493109476
Cmax_blood,0.23483431399694796
on_target_editing_fraction_final,0.0006011346847667814
off_target_editing_fraction_final,4.2578930803876776e-05
apoe4_fraction_final,0.9990921729887733
apoe3_like_fraction_final,0.0006011016809865906
apoe2_like_fraction_final,3.300378019083519e-08
mixed_edit_fraction_final,5.157737693316347e-05
local_bystander_burden_final,4.1110302298555204e-05
puf_mismatch_burden_final,2.8881450916104603e-09
deaminase_background_burden_final,1.467553402818349e-06
ldlr_binding_risk_proxy_final,3.300378019083519e-08
