distribution.k_blood_to_brain,distribution.k_blood_to_liver,editing.k_cat_112,editing.k_cat_158,editing.k_cat_puf_off,editing.k_deaminase_bg,editing.k_on_puf_off,intracellular.k_deg_p,intracellular.k_tl,intracellular.k_tx,objective,sample_id
0.01,0.08,1.0,0.15,0.0006516129032258064,0.0003,0.002270967741935484,0.03,0.9,0.4,5.621666290401012,-1
0.024307389340340123,0.02847958766500615,0.07394088229879077,0.008119104737795282,0.00046434787973749503,0.00658492447624795,0.003800278249748101,0.011449497646950652,0.34541075967318535,0.8206615320380571,5.632699759163815,0.0
0.002103678409209718,0.03351792059640515,0.13265357566400204,1.8682091112065613,0.011798920778290025,0.001917048780176636,0.011325135138934517,0.006790133584794411,1.9147876531029846,0.9542788391025885,5.812200484090156,1.0
0.0012416599318195336,0.11536535307712233,0.14739171860574657,0.37980750726042756,0.12927318349625558,4.627588956640957e-05,0.4676679859839144,0.019132094663510027,1.372059559061479,0.497504016961412,5.902221576046282,2.0
0.006798034801743221,0.15624106760308054,1.9089401537817399,1.002244312250723,0.002188695697902511,0.013337922872612788,0.002000032132496734,0.021311577214245064,2.273921773837548,1.1516203119538155,4.59956328474179,3.0
0.0055643772325620015,0.03775985587767024,0.06949374511899133,0.17952677869607506,0.0001228577605571284,0.004101290932758799,0.03084070802143645,0.05253436973117293,0.31111972814684885,0.36910872626158225,5.910434809027133,4.0
0.028048131199541606,0.16999773013461705,0.8797269729845042,0.1985681398074516,0.00028173791187918864,6.825743186586636e-05,0.2544873968158666,0.007853282027142982,0.552808707020997,0.09169619290959126,5.805756486519115,5.0
0.037549149282822734,0.02429702079325025,0.23415250363744106,0.05557060844456362,0.025983501441169343,0.000398591691283695,0.12920460240073045,0.04572081607742535,0.15737024561819593,0.38851632061073865,5.706634287209709,6.0
0.004554495480372441,0.04414119877002918,0.39502304039791275,1.6834908256477625,0.0021562657079975765,1.258075726422576e-05,0.03750616963769359,0.008378524204304266,0.18169680538094063,0.17177756456684967,5.92296698454762,7.0
0.003460907406754122,0.2416362023532746,0.04993428219790329,0.007641563917856474,0.1921073019160312,0.0004970966323386735,0.003830273316488244,0.07031321090075605,1.0115317585072934,0.12754215900910162,5.950572957071878,8.0
0.0127367731532043,0.026394381904933536,0.1665690661223977,1.6522911307415988,0.18714888959849413,0.0001738394155496535,0.014240843294643911,0.006102630352147716,0.14049128883484835,0.24600105879483328,5.8877850481598735,9.0
0.0014856071764015688,0.048105787451895234,0.5308070245328116,0.005678008606484144,0.0036480981172392016,0.0015018848090013518,0.04703868876522555,0.08597688677573413,0.16828651134148032,0.34236734559098614,5.936105981324456,10.0
0.0015519036187852785,0.10279556101528191,1.6966045958454636,0.3566558515981923,0.0001774373831739446,0.00021408986574385032,0.003294075886527763,0.006449031756680502,0.771699544964826,0.22917798852452745,5.904582824958514,11.0
0.01170196094777649,0.10977762310983036,0.06641095795411978,0.10195356773917645,0.02566497590638775,2.345545108831142e-05,0.05015543820675692,0.026018201285627672,0.6794490225591028,0.07286234760872322,5.896924442963441,12.0
0.015842126307548998,0.024391328277798423,0.17242606632305782,0.013069855884112868,0.0008248317670131129,0.006834712894567083,0.06190780833444442,0.07212057910587676,0.6059321558943592,1.152289865991769,5.489952164618892,13.0
0.0012195690577350648,0.15103810723619418,0.0840251560291022,0.006233762371807471,0.15387646039555178,0.0021870775153600202,0.07441089867359182,0.005890728946752191,1.2812376802383467,0.1344780053603388,5.9386785829218205,14.0
0.0021663061991022536,0.22399084278038092,0.08337032118726992,0.029690466422502188,0.019372603229744163,0.00022546128053639263,0.34515537075311264,0.05843341962014603,2.439937172558252,0.6532801372499828,5.916525880622615,15.0
0.0011686708137282015,0.040556743278163464,0.05424796123918444,1.8864578720566128,0.00010545464301238147,3.596405356017986e-05,0.2958232997154956,0.00764521138695861,0.683511252969864,0.5892245249140644,5.937187672460263,16.0
0.005772943518446432,0.21614670093226912,2.4544825116173157,0.03238349447916025,0.036167173976126184,2.6686239485887445e-05,0.34613891786321793,0.015577721209777781,0.4783526177453077,0.7644943005536079,5.7816149698992065,17.0
0.04164129064555859,0.24863437525606882,0.09587650774100623,0.41261859754858865,0.07966105256070534,0.004690286959350548,0.3119956957684059,0.021707974362549717,0.5626635312626846,0.07349149528137797,5.840770218778524,18.0
0.012558507706382607,0.061364493674077654,0.22124857219691754,1.1336012607516506,0.0063511636452341595,0.0003080625696395299,0.009013829097529956,0.04794039772610879,0.283694123987881,0.7636958322386134,5.747495679810222,19.0
