assay,time_h,observed,predicted,sd,weight,weighted_residual
vector_qpcr_blood,1.0,0.2,0.030509141625466935,0.05,1.0,-3.389817167490661
vector_qpcr_liver,24.0,0.3,0.2624706838591498,0.08,1.0,-0.4691164517606275
vector_qpcr_brain,72.0,0.001,5.0751663325427784e-05,0.0003,2.0,-6.328322244497149
puf_mrna_qpcr,72.0,0.001,9.738576324560804e-05,0.0002,1.0,-4.5130711837719595
editor_western,72.0,0.003,0.00026775869037612405,0.0008,1.0,-3.415301637029845
on_editing_amplicon_pct,72.0,1.3,0.060128808234495866,0.3,3.0,-12.398711917655042
apoe3_like_amplicon_pct,72.0,1.2,0.06012550701428616,0.3,3.0,-11.39874492985714
apoe2_like_amplicon_pct,72.0,0.05,3.3012202097073943e-06,0.03,2.0,-3.3331132519860196
off_editing_amplicon_pct,72.0,0.03,0.004258979563480791,0.02,3.0,-3.8611530654778807
local_bystander_amplicon_pct,72.0,0.05,0.004111910197742711,0.03,2.0,-3.0592059868171533
puf_mismatch_offtarget_pct,72.0,0.02,1.9218168709042942e-07,0.02,2.0,-1.999980781831291
deaminase_background_pct,72.0,0.02,3.669229889980415e-05,0.02,2.0,-1.9963307701100195
viability_pct,72.0,95.0,95.84311153278308,5.0,1.0,0.16862230655661675
