distribution.k_blood_to_brain,distribution.k_blood_to_liver,editing.k_cat_off,editing.k_cat_on,editing.k_on_off,intracellular.k_deg_p,intracellular.k_tl,intracellular.k_tx,objective,sample_id
0.01,0.08,0.0054301075268817205,0.5,0.030279569892473126,0.03,0.9,0.4,2.9917947517871673,-1
0.024307389340340123,0.02847958766500615,0.003800278249748101,0.10298742934648918,0.015352572972437266,0.011449497646950652,0.34541075967318535,0.8206615320380571,9.26227486641171,0.0
0.028225926891589013,0.034563128426739254,0.007434031925506772,1.4733273672321965,0.017181637021281743,0.08057542368584,0.18439648349834195,0.09165094295618141,3.9883285871693777,1.0
0.004607952246730806,0.2908978220664882,0.15699987950825317,0.061321210119930206,0.4608232901768501,0.03474264825854626,0.9261113394475129,0.3674844970974682,5.423984947274908,2.0
0.0038662773853377,0.06727544466019152,0.021004749628387914,0.1051673215881755,0.5580855415489998,0.08419846137803606,2.4149192030013613,0.49715709430795724,4.251012293081158,3.0
0.044559594069021276,0.28966259136735645,0.3590190072483536,0.07545015398677937,0.08593999394214556,0.07078998206846515,1.8226864609116744,0.23277487045767076,7.262063421820448,4.0
0.0055643772325620015,0.03775985587767024,0.03084070802143645,0.09799532144676508,0.23727077651492157,0.05253436973117293,0.31111972814684885,0.36910872626158225,5.2324755015607884,5.0
0.022121506863439656,0.02152198676755582,0.09549933848399797,0.3547903742022894,0.022222528110842594,0.0088560773413204,1.5536700025486714,0.6161552653386014,34.161589437418016,6.0
0.03268426664648888,0.10561514178579427,0.0023999041200471038,1.5267017679451693,0.3051425703153972,0.006201148043178462,0.2255541532088499,0.07710050386480957,4.308414976315901,7.0
0.005728769465001591,0.14786817037678088,0.01111713539210554,0.29904763015056735,0.04706244846971583,0.04473744455292339,1.2403466470047426,0.17936338198312116,4.75992353774539,8.0
0.002066306257922907,0.057247655951759104,0.0012064844034307418,0.4298619738476489,0.08505036384559123,0.09174668456265227,0.6060350460808062,0.08645941377238375,5.740380001596485,9.0
0.003460907406754122,0.2416362023532746,0.003830273316488244,0.07520036776941978,0.01455126988234349,0.07031321090075605,1.0115317585072934,0.12754215900910162,5.802442240317874,10.0
0.007466585585991642,0.2957272176362037,0.010107768293136773,0.07382074156399673,0.014225548366478909,0.02245120056308263,0.8114481332548689,0.06924079197450135,5.760218417985397,11.0
0.005322764066857606,0.2751896510610764,0.002731669154716306,0.07262205133943501,0.24714259769144026,0.013201691287800956,0.33510848983535874,1.1671365078059532,5.303646646099217,12.0
0.011481548734945573,0.26170036931728263,0.002010046901426456,0.5692958311519859,0.24601815251505746,0.020635972127292884,0.7349426288246037,0.05348888756669201,5.439755989112386,13.0
0.011982565780225149,0.07318925698358705,0.012243756363467062,0.10145824503092243,0.014914216814812937,0.04222889127115419,1.6784814405911797,0.06549695124246283,4.912470083031063,14.0
0.01170196094777649,0.10977762310983036,0.05015543820675692,0.09449748866007653,0.1438617557876074,0.026018201285627672,0.6794490225591028,0.07286234760872322,5.329359040085649,15.0
0.0015508029276760566,0.14435444816445653,0.010590320835319326,0.39413002218158155,1.1219936880645245,0.09624791018044304,0.9710149963714679,0.0631156561890608,5.883298867452994,16.0
0.013424025263992117,0.03087760183976963,0.13755446799549279,0.060291924942316756,0.05204110064502141,0.04680630973848592,1.5865887403459435,0.1208137642015937,4.3223210298787365,17.0
0.0023986368949770456,0.023194859304536786,0.0034144583997437494,0.6832124977195203,1.1291898571004326,0.09018314843020388,0.9320088618614403,0.056204972161361645,5.80017387336393,18.0
0.04854386742616026,0.17868768505478747,0.012772951636691805,1.6050545136683496,0.39293161639958857,0.012184101612860548,0.20429886267660405,0.6786431269659907,8.444267338882604,19.0
0.0011686708137282015,0.040556743278163464,0.2958232997154956,0.08036088600194154,1.8992565564837471,0.00764521138695861,0.683511252969864,0.5892245249140644,5.792158612881628,20.0
0.0019323855298205173,0.020382049283985824,0.38137052101974,0.3005878869077996,0.0746233683590111,0.06537718912360138,0.42314579037847333,0.8167679714151946,4.7539026839170635,21.0
0.039666913041018735,0.04653175613147524,0.028085858800643425,1.68312278221804,0.019004682706952037,0.0812410658305855,0.15153981042281492,0.5870033015566439,10.623846424822602,22.0
0.002683134514855468,0.07541286226457518,0.05568831461412477,0.9893724959640557,0.08965980926274841,0.06957188173110948,1.958177783546706,0.5194949223497529,3.1638213879044965,23.0
